name,lived_in,type,taxonomy,species,period_name,period_start,period_end,named,named_year,length_meters,continent_AF,continent_AQ,continent_AS,continent_EU,continent_NA,continent_OC,continent_SA,diet_carnivorous,diet_herbivorous,diet_omnivorous,diet_unknown
stenopelix,Germany,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,valdensis,Early Cretaceous,127.0,121.0,Meyer,1857.0,1.5,False,False,False,True,False,False,False,False,True,False,False
struthiomimus,Canada,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,altus,Late Cretaceous,76.0,74.0,Osborn,1917.0,4.0,False,False,False,False,True,False,False,False,False,True,False
struthiosaurus,Spain,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,austriacus,Late Cretaceous,83.0,75.0,Bunzel,1871.0,2.5,False,False,False,True,False,False,False,False,True,False,False
styracosaurus,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,albertensis,Late Cretaceous,76.0,70.0,Lambe,1913.0,5.5,False,False,False,False,True,False,False,False,True,False,False
suchomimus,Niger,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,tenerensis,Early Cretaceous,121.0,112.0,Sereno Beck Dutheil Gado Larsson Lyon Marcot Rauhut Sadleir Sidor Varricchio Wilson and Wilson,1998.0,11.0,True,False,False,False,False,False,False,True,False,False,False
supersaurus,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,vivianae,Early Cretaceous,154.0,142.0,Jansen,1985.0,35.0,False,False,False,False,True,False,False,False,True,False,False
talarurus,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,plicatospineus,Late Cretaceous,99.0,89.0,Maleev,1952.0,6.0,False,False,True,False,False,False,False,False,True,False,False
tarbosaurus,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,bataar,Late Cretaceous,74.0,70.0,Maleev,1955.0,10.0,False,False,True,False,False,False,False,True,False,False,False
tarchia,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,gigantea,Late Cretaceous,75.0,68.0,Maleev,1956.0,8.5,False,False,True,False,False,False,False,False,True,False,False
telmatosaurus,Spain,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,transsylvanicus,Late Cretaceous,84.0,65.0,Nopcsa,1900.0,5.0,False,False,False,True,False,False,False,False,True,False,False
tenontosaurus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,tillettorum,Early Cretaceous,120.0,110.0,Ostrom,1970.0,7.0,False,False,False,False,True,False,False,False,True,False,False
thecodontosaurus,United Kingdom,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda,antiquus,Late Triassic,227.0,205.0,Morris,1843.0,2.5,False,False,False,True,False,False,False,False,False,True,False
thescelosaurus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,neglectus,Late Cretaceous,76.0,67.0,Gilmore,1913.0,3.5,False,False,False,False,True,False,False,False,True,False,False
torosaurus,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,latus,Late Cretaceous,70.0,65.0,Marsh,1891.0,7.5,False,False,False,False,True,False,False,False,True,False,False
torvosaurus,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,tanneri,Late Jurassic,155.0,144.0,Galton and Jensen,1979.0,10.0,False,False,False,False,True,False,False,True,False,False,False
triceratops,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,horridus,Late Cretaceous,68.0,66.0,Marsh,1889.0,9.0,False,False,False,False,True,False,False,False,True,False,False
troodon,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,formosus,Late Cretaceous,74.0,65.0,Leidy,1856.0,2.0,False,False,False,False,True,False,False,True,False,False,False
tsintaosaurus,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,spinorhinus,Late Cretaceous,84.0,71.0,Young,1958.0,12.0,False,False,True,False,False,False,False,False,True,False,False
tuojiangosaurus,China,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,multispinus,Late Jurassic,157.0,154.0,Dong Li Zhou and Zhang,1973.0,7.0,False,False,True,False,False,False,False,False,True,False,False
tylocephale,Mongolia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,gilmorei,Late Cretaceous,75.0,72.0,Maryańska and Osmólska,1974.0,1.4,False,False,True,False,False,False,False,False,True,False,False
tyrannosaurus,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,rex,Late Cretaceous,68.0,66.0,Osborn,1905.0,12.0,False,False,False,False,True,False,False,True,False,False,False
unenlagia,Argentina,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,comahuensis,Late Cretaceous,94.0,86.0,Novas and Puerta,1997.0,2.4,False,False,False,False,False,False,True,True,False,False,False
urbacodon,Uzbekistan,small theropod,Dinosauria Saurischia,itemirensis,Late Cretaceous,95.0,95.0,Averianov and Sues,2007.0,1.0,False,False,True,False,False,False,False,True,False,False,False
utahraptor,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,ostrommaysorum,Early Cretaceous,112.0,100.0,Kirkland Gaston and Burge,1993.0,6.0,False,False,False,False,True,False,False,True,False,False,False
valdosaurus,United Kingdom,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,canaliculatus,Early Cretaceous,142.0,121.0,Galton,1975.0,3.0,False,False,False,True,False,False,False,False,True,False,False
velociraptor,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,mongoliensis,Late Cretaceous,74.0,70.0,Osborn,1924.0,1.8,False,False,True,False,False,False,False,True,False,False,False
vulcanodon,Zimbabwe,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae,karibaensis,Early Jurassic,205.0,202.0,Raath,1972.0,6.5,True,False,False,False,False,False,False,False,True,False,False
yandusaurus,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,hongheensis,Mid Jurassic,169.0,159.0,He,1979.0,3.0,False,False,True,False,False,False,False,False,True,False,False
yangchuanosaurus,China,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,shangyouensis,Late Jurassic,160.0,144.0,Dong Chang Li and Zhou,1978.0,10.0,False,False,True,False,False,False,False,True,False,False,False
yimenosaurus,China,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda,youngi,Early Jurassic,195.0,190.0,Bai Yang and Wang,1990.0,9.0,False,False,True,False,False,False,False,False,True,False,False
yinlong,China,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia,downsi,Mid Jurassic,159.0,154.0,Xu Forster Clark and Mo,2006.0,1.2,False,False,True,False,False,False,False,False,True,False,False
yuanmousaurus,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,jiangyiensis,Mid Jurassic,180.0,159.0,Lü Li Ji Wang Zhang and Dong,2006.0,17.0,False,False,True,False,False,False,False,False,True,False,False
yunnanosaurus,China,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,huangi,Early Jurassic,205.0,190.0,Young,1942.0,7.0,False,False,True,False,False,False,False,False,False,True,False
zalmoxes,Romania,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,robustus,Late Cretaceous,69.0,69.0,Nopcsa,1902.0,3.0,False,False,False,True,False,False,False,False,True,False,False
zephyrosaurus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,schaffi,Early Cretaceous,120.0,110.0,Sues,1980.0,1.8,False,False,False,False,True,False,False,False,True,False,False
